episode_id,scenario,has_incident,had_leak,onset,base_alarm_t,base_detected,base_lead,base_false_alarm,base_alarm_minutes,model_alarm_t,model_detected,model_lead,model_false_alarm,model_alarm_minutes,model_peak_proba
168,compound_hidden,True,1,163,150.0,True,13.0,False,22,154.0,True,9.0,False,11,0.9916627848278674
169,compound_hidden,True,1,92,6.0,True,86.0,False,22,85.0,True,7.0,False,24,0.9948679852733553
170,normal,False,0,-1,97.0,False,,True,5,,False,,False,0,0.32133581062848043
171,maintenance_no_leak,False,0,-1,194.0,False,,True,2,119.0,False,,True,1,0.9677122673663173
172,compound_hidden,False,1,-1,,False,,False,0,116.0,False,,True,8,0.9922866445810506
173,normal,False,0,-1,137.0,False,,True,2,,False,,False,0,0.16958362031783425
174,normal,False,0,-1,126.0,False,,True,2,,False,,False,0,0.45328524166696366
175,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.15313744257418352
176,compound_hidden,True,1,65,64.0,True,1.0,False,93,56.0,True,9.0,False,74,0.9945254341220605
177,normal,False,0,-1,199.0,False,,True,2,,False,,False,0,0.48312045059014
178,compound_hidden,True,1,130,25.0,True,105.0,False,22,117.0,True,13.0,False,25,0.9883938294415333
179,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.5362058535186025
180,compound_hidden,False,1,-1,153.0,False,,True,3,,False,,False,0,0.9332389189930319
181,normal,False,0,-1,,False,,False,0,,False,,False,0,0.21222607660949358
182,maintenance_no_leak,False,0,-1,8.0,False,,True,2,,False,,False,0,0.8720969768421717
183,compound_hidden,True,1,72,73.0,False,,False,27,59.0,True,13.0,False,33,0.994485279630927
184,normal,False,0,-1,114.0,False,,True,4,,False,,False,0,0.1313696681616898
185,compound_hidden,True,1,178,161.0,True,17.0,False,23,165.0,True,13.0,False,11,0.9675098435926313
186,maintenance_no_leak,False,0,-1,3.0,False,,True,4,115.0,False,,True,3,0.9755744695180426
187,compound_hidden,True,1,138,129.0,True,9.0,False,45,128.0,True,10.0,False,14,0.9866937803848222
188,compound_hidden,True,1,58,57.0,True,1.0,False,34,49.0,True,9.0,False,34,0.9951742968145169
189,gas_leak_visible,False,1,-1,145.0,False,,True,9,,False,,False,0,0.8891150806109623
190,gas_leak_visible,False,1,-1,150.0,False,,True,17,160.0,False,,True,1,0.9537444932336749
191,compound_hidden,True,1,167,32.0,True,135.0,False,10,173.0,False,,False,1,0.9517890624664318
192,gas_leak_visible,False,1,-1,22.0,False,,True,7,,False,,False,0,0.6817560853271998
193,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.9171490852985554
194,maintenance_no_leak,False,0,-1,65.0,False,,True,4,,False,,False,0,0.8059024748039536
195,normal,False,0,-1,,False,,False,0,,False,,False,0,0.3706018742187202
196,compound_hidden,False,1,-1,57.0,False,,True,1,,False,,False,0,0.9018031462418746
197,compound_hidden,True,1,198,77.0,True,121.0,False,31,186.0,True,12.0,False,13,0.9688979092981073
198,normal,False,0,-1,237.0,False,,True,2,,False,,False,0,0.44063762274635354
199,normal,False,0,-1,,False,,False,0,,False,,False,0,0.47315650178834356
200,normal,False,0,-1,,False,,False,0,,False,,False,0,0.49522205488426735
201,compound_hidden,False,1,-1,,False,,False,0,100.0,False,,True,9,0.9897573389709504
202,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.9425238063443337
203,gas_leak_visible,False,1,-1,225.0,False,,True,2,,False,,False,0,0.18201847529030193
204,compound_hidden,True,1,100,98.0,True,2.0,False,51,86.0,True,14.0,False,48,0.9948053644554044
205,compound_hidden,False,1,-1,70.0,False,,True,18,78.0,False,,True,3,0.9560711293487316
206,normal,False,0,-1,76.0,False,,True,6,,False,,False,0,0.5987816945581564
207,normal,False,0,-1,86.0,False,,True,2,,False,,False,0,0.21755191122680095
208,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.6795295962161995
209,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.9045393260159124
210,normal,False,0,-1,,False,,False,0,,False,,False,0,0.2214115368645385
211,normal,False,0,-1,,False,,False,0,,False,,False,0,0.4033589000094206
212,compound_hidden,True,1,94,69.0,True,25.0,False,58,84.0,True,10.0,False,30,0.9948594389098103
213,compound_hidden,True,1,97,96.0,True,1.0,False,20,85.0,True,12.0,False,25,0.9948707667242609
214,maintenance_no_leak,False,0,-1,29.0,False,,True,4,87.0,False,,True,1,0.9544741475580797
215,compound_hidden,True,1,139,138.0,True,1.0,False,3,137.0,True,2.0,False,2,0.9635386469288435
216,compound_hidden,True,1,146,7.0,True,139.0,False,5,139.0,True,7.0,False,11,0.9959270089639924
217,normal,False,0,-1,,False,,False,0,,False,,False,0,0.5433638883069828
218,compound_hidden,False,1,-1,123.0,False,,True,6,111.0,False,,True,9,0.9889516676064876
219,normal,False,0,-1,,False,,False,0,,False,,False,0,0.3766437501535048
220,gas_leak_visible,False,1,-1,58.0,False,,True,37,82.0,False,,True,5,0.974112402221347
221,maintenance_no_leak,False,0,-1,63.0,False,,True,2,,False,,False,0,0.8561172702379487
222,compound_hidden,True,1,76,63.0,True,13.0,False,6,63.0,True,13.0,False,13,0.9883408213018138
223,normal,False,0,-1,11.0,False,,True,4,,False,,False,0,0.4903800039039289
224,compound_hidden,False,1,-1,82.0,False,,True,20,89.0,False,,True,12,0.9942489221432539
225,gas_leak_visible,True,1,109,85.0,True,24.0,False,43,93.0,True,16.0,False,22,0.9778186873428971
226,normal,False,0,-1,,False,,False,0,,False,,False,0,0.15300113575695934
227,compound_hidden,True,1,133,135.0,False,,False,6,125.0,True,8.0,False,14,0.994893392942297
228,compound_hidden,False,1,-1,,False,,False,0,,False,,False,0,0.8978662398709335
229,normal,False,0,-1,202.0,False,,True,2,,False,,False,0,0.21224224333042496
